Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1308960054872219648,"Gak usah pada dateng pilkada buat milih, biar COVID-19 aja yang milih",애차,tnyannisa,2020-09-24T02:42:51.000Z,Thu Sep 24 02:42:51 +0000 2020,0,0,in,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1308960054813564928,"@RealOmeedMalik @DailyCaller @mgmgomes1 @RandPaul @TocRadio Herd immunity at 20%? Yes, he's essentially alone. Believe it or not, we've dealt with outbreaks &amp; pandemics before COVID. Never has anyone viewed 20% of population antibodies as herd immunity. This paper also carefully says ""could"" - so... science.",Devin,DevinMcloud,2020-09-24T02:42:51.000Z,Thu Sep 24 02:42:51 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,5,,,,,
1308960054763237378,@Real_G2DAZ @KimKurz1 They are making the vaccine without using live covid so he is right for once!,Paczki,Chrusciki12,2020-09-24T02:42:51.000Z,Thu Sep 24 02:42:51 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1308960054754906113,"RT @latimes : There have been 18% more deaths in L.A. County this year than over the same time period in 2017, 2018 and 2019. https://t.co/6PlDB8aUBB",Eric Katz,EricEkatz,2020-09-24T02:42:51.000Z,Thu Sep 24 02:42:51 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.latimes.com/california/story/2020-09-23/la-county-covid-19-transmission-rate-increases-officials-await-labor-day-numbers ,0,0,,,,,
1308960054671036417,"RT @aleQuiintanilla : Amigos, ya necesito empleo !
Como a muchos gracias al COVID, estoy sin trabajo desde Junio del presente año.
Soy Perito Contador y tengo Técnico en Admon de Empresas, conocimiento en computación y manejo de Office.
9 años de experiencia laboral
Me ayudarían bastante con un RT",Julio Gomez,jegomez1,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1308960054595387392,"RT @balloon_wanted : SHINee's Key is shared to have been discharged from the military and will not return due to COVID-19 protocols but will maintain his status until October 7th, his original discharge date

https://t.co/BTsTSoCnx5",marny,marny6v6,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,en,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",Retweet,https://entertain.v.daum.net/v/20200924112939082 ,0,0,,,,,
1308960054591344640,"RT @JoeBiden : The 200,000 people we've lost to COVID-19 weren't nobodies, Mr. President.

They were our parents and grandparents, sons and daughters, friends and co-workers.

They were Americans. https://t.co/EcdaEiwgUS",SwmpLady (aka Shari),SwmpladySH,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,video,https://video.twimg.com/amplify_video/1308952430944694272/vid/320x320/5LR0GYd-e4tJ_moe.mp4?tag=13,,,
1308960054377414656,"RT @ThueRasmussen : 😥🙏🐺⚔️
#witchernetflix #eskel #covid_19 https://t.co/bcLTg2OgzM",Ranger,Rangerere,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,3,0,photo,https://pbs.twimg.com/media/EilUOcxWAAAVvJp.jpg,,,
1308960054306111489,"É oficial, galera: ""tô com suspeita de Covid"" entrou pra minha lista de desculpas que usei pra não sair",Juninho Barretovisky,juniorbarretofz,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1308960054125699075,RT @miliidelcre : estoy tan fea que creen que tengo covid aprox,martii,martimeinerii,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1308960053924372480,"RT @CynthiaHRivas : My dad is one of 200k+ people that died of COVID-19. He was super healthy, didn't have any pre-existing conditions, &amp; didn't even have gray hair. He still DIED after a 3 week battle with COVID-19. Please register to vote and VOTE for people that believe in SCIENCE. https://t.co/FrdnZLvlwy",bianca,vile_bia,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/atrupar/status/1308209927274536961 ,0,0,,,,,
1308960053572046848,@OriBridget Welcome to Canada! I'm so glad it all worked out! This must be a difficult year to immigrate on with all the Covid stuff!,Mac,MalcolmTolmanVO,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1308960053534302210,"RT @JoeBiden : The 200,000 people we've lost to COVID-19 weren't nobodies, Mr. President.

They were our parents and grandparents, sons and daughters, friends and co-workers.

They were Americans. https://t.co/EcdaEiwgUS",George Thompson Texas Vet Voting Biden/Harris2020,millionmonkey,2020-09-24T02:42:50.000Z,Thu Sep 24 02:42:50 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,video,https://video.twimg.com/amplify_video/1308952430944694272/vid/320x320/5LR0GYd-e4tJ_moe.mp4?tag=13,,,
