Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1308960345449357313,"RT @OH_mes2 : SHINee Key will be officially discharged from the military on October 7

He is currently on his last military vacation, and will not return to the military due to the military's coronavirus and vacation policy

https://t.co/5ZfUnJIQO2 https://t.co/9lOoBnZEFh",rhythm & breathe,randbreathe,2020-09-24T02:44:00.000Z,Thu Sep 24 02:44:00 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://entertain.naver.com/read?oid=421&aid=0004891181 ,0,0,photo,https://pbs.twimg.com/media/EipaRgAUMAEwcfy.jpg,,,
1308960344652558338,"RT @ValuetainmentTV : Chinese Virologist Reveals Coronavirus Cover Up by CCP - EXCLUSIVE INTERVIEW 

https://t.co/MctVRwlNpg https://t.co/nqFthAzasp",nickagamboa,nickagamboa,2020-09-24T02:44:00.000Z,Thu Sep 24 02:44:00 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://youtu.be/xJxlOgC9Yr0 ,0,0,photo,https://pbs.twimg.com/media/EimoNpxXkAIWTdm.jpg,,,
1308960344619003904,"RT @CTZebra : 25yo male pharmacy tech from San Diego, name not published. 

https://t.co/tBxCPE3Mwx",Peter O'Fallon,PeterOFallon1,2020-09-24T02:44:00.000Z,Thu Sep 24 02:44:00 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://fox40.com/news/california-connection/officials-warn-coronavirus-is-dangerous-for-all-ages-after-25-year-old-californian-dies/amp/ ,0,0,,,,,
1308960344614875136,RT @cnnbrk : The CDC now says thousands of passengers on board commercial flights may have been exposed to coronavirus since the start of 2020 https://t.co/IrXaM0alJB https://t.co/l2ZCPDpCPG,Cody 🍍🍕,thatsilentaitch,2020-09-24T02:44:00.000Z,Thu Sep 24 02:44:00 +0000 2020,0,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retweet,https://cnn.it/2RTonRy ,0,0,photo,https://pbs.twimg.com/media/Ein_C3iXcAEfeHO.jpg,,,
1308960344325402624,"RT @AshaRangappa_ : 4. This situation is like the coronavirus. He understands the reality, he knows he can't escape it, so his only option is to create an alternate reality. Reality, however, caught up with him with COVID. So it is up to YOU to make sure the same happens with the election.",WearTheDamnMask!,JennLevyBKLYN,2020-09-24T02:44:00.000Z,Thu Sep 24 02:44:00 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1308960343998173185,"RT @thehill : WATCH: Pelosi holds moment of silence for 200,000 who died of coronavirus https://t.co/0KrWaajJSD https://t.co/Hdwnd5A1qi",MrsMarcioni,Marcie_Sim,2020-09-24T02:43:59.000Z,Thu Sep 24 02:43:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://hill.cm/p3gghWC ,0,0,photo,https://pbs.twimg.com/media/Eik2oXPWsAAZehu.png,,,
1308960342878203904,RT @CNN : Canadian Prime Minister Justin Trudeau says a second wave of the coronavirus is already underway in most of Canada https://t.co/EHcTwg7zdK,tRumpButtScootinAcrossAmerica,AcrossButt,2020-09-24T02:43:59.000Z,Thu Sep 24 02:43:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,https://cnn.it/3j4rvpG ,0,0,,,,,
1308960342295416832,"RT @Adam_Creighton : The US govt last week updated the survival rates (i.e., IF infected) for Covid19:

0-19              99.997%
20-49           99.98%
50-69           99.5%
70+               94.6%

Didn't see it reported much.

https://t.co/miFbqyb9pM",P. Warren,MuttartP,2020-09-24T02:43:59.000Z,Thu Sep 24 02:43:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.cdc.gov/coronavirus/2019-ncov/hcp/planning-scenarios.html ,0,0,,,,,
1308960341880197123,"RT @muyixiao : [THREAD] Chinese companies are using Uighur labor to make P.P.E. as the Covid19 pandemic drives up demand. We spent months investigating how the supply chain is connected with a highly controversial labor program. We even traced some masks to the U.S. 

👉 https://t.co/e5oz643q5a https://t.co/Y9SFmEgRGc",||| ยอดชายนายจู๊นจู๊น,mnntxiao,2020-09-24T02:43:59.000Z,Thu Sep 24 02:43:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://nyti.ms/2CtBTqD ,0,0,video,https://video.twimg.com/ext_tw_video/1284958855361953792/pu/pl/7IZjAunBNUL5gUG5.m3u8?tag=10,,,
1308960341003505665,"RT @TrumpWarRoom : There are multiple potential coronavirus vaccines now in the final stages of development.
 
According to NIH Director Dr. Francis Collins, that “impressive” accomplishment is thanks to President Trump’s Operation Warp Speed. https://t.co/SHZxP6reeh",TK at large. God Bless the USA,tek22gbp,2020-09-24T02:43:59.000Z,Thu Sep 24 02:43:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,0,0,video,https://video.twimg.com/amplify_video/1308939347996151813/vid/480x270/0StbBNOrQ6R37Gzb.mp4?tag=13,,,
