Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1308959830468485120,モイ！iPhoneからキャス配信中 - https://t.co/ogB4bAWYLH,まさ,saikyomurazinei,2020-09-24T02:41:57.000Z,Thu Sep 24 02:41:57 +0000 2020,0,0,ja,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",Tweet,https://twitcasting.tv/saikyomurazinei/movie/642384310 ,0,0,,,,,
1308959824684646401,Alguém me dar um carregador de iPhone 😭,Larii,Larissa07238807,2020-09-24T02:41:56.000Z,Thu Sep 24 02:41:56 +0000 2020,0,0,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1308959824336613376,"A few pictures from today !! I caught a few Bull trout on a imitation rainbow trout , I took these underwater photos with my iPhone 11 https://t.co/AoPg3ZpaH2",𝒫𝓇𝒶𝓈𝒶𝓃 𝑅𝒶𝑜 🇺🇸,Sjrao9,2020-09-24T02:41:56.000Z,Thu Sep 24 02:41:56 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Eipb8LmXcAMQhZ5.jpg,https://pbs.twimg.com/media/Eipb8LvWkAMxoDN.jpg,https://pbs.twimg.com/media/Eipb8L0XsAEsPfe.jpg,https://pbs.twimg.com/media/Eipb8L7WoAEz6j-.jpg
1308959821555789825,"El video del que anda dando vueltas de @ierrejon con el #iphone no resiste una búsqueda en Wikipedia, y deja en claro que no solo en Argentina hay políticos parásitos defendiendo sus privilegios* de clase, con un discurso berreta y falaz, no sea cosa que en España (sigue)",N Prado,pradonorberto,2020-09-24T02:41:55.000Z,Thu Sep 24 02:41:55 +0000 2020,0,0,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,,,,,
1308959817873141761,"RT @ALABDULLATIF : #اليوم_الوطني_السعودي_ال90 

5 أجهزة iPhone11📱📱📱📱📱
مبلغ ""10,0000"" ريال لـ 20 فائز💰

اذكر اسم إحدى المدن السعودية
وادخل السحب على👇🏼
جهاز iPhone 11📱
مبلغ 2000 ريال💰

➊ متابعة
@ALABDULLATIF 
@B_Al3bdullatif 
➋ ريتويت ➌ الإجابة مع الهاشتاق
#ايفونات_وكاش_مع_العبداللطيف https://t.co/UfrkKBXs13",سوما,soma99982,2020-09-24T02:41:54.000Z,Thu Sep 24 02:41:54 +0000 2020,0,0,ar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,2,2,photo,https://pbs.twimg.com/media/Ein9sRcWoAIE1LD.jpg,,,
1308959817575182338,"RT @BrightMinho : วันเปิดตัว iPhone 12 มาแล้วววว🎉
จาก Leaker ที่แม่นมากคนนึง เจ้าเก่าเจ้าเดิม Jon Prosser
- งานวันเปิดตัว วันที่ 13 ตุลาคม
- Pre-order ในเว็บวันที่ 16 ตุลาคม
- จัดจำหน่าย วันที่ 23 ตุลาคม https://t.co/mtPa5yWQi8",Mine(◉♡◉)🐧มายโดกิ 💛 D-123 That's okay 🌵❤️,mine_doki,2020-09-24T02:41:54.000Z,Thu Sep 24 02:41:54 +0000 2020,0,0,th,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/theapplehub/status/1308843527347068929 ,0,0,,,,,
1308959817072074754,"RT @BrightMinho : วันเปิดตัว iPhone 12 มาแล้วววว🎉
จาก Leaker ที่แม่นมากคนนึง เจ้าเก่าเจ้าเดิม Jon Prosser
- งานวันเปิดตัว วันที่ 13 ตุลาคม
- Pre-order ในเว็บวันที่ 16 ตุลาคม
- จัดจำหน่าย วันที่ 23 ตุลาคม https://t.co/mtPa5yWQi8",pp.♔,paplengmelodyy,2020-09-24T02:41:54.000Z,Thu Sep 24 02:41:54 +0000 2020,0,0,th,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/theapplehub/status/1308843527347068929 ,0,0,,,,,
1308959816488906752,"RT @ernestprakasa : Anak iPhone: GOKIL SEKARANG HOME SCREEN BISA DI-CUSTOM GITU ASIK BANGET!

Anak Android: 😂😂😂😂😂",Lily of the Valley,yourlittleflowr,2020-09-24T02:41:54.000Z,Thu Sep 24 02:41:54 +0000 2020,0,0,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1308959816358952960,"RT @Badr1__KSA : الجائزة 👈🏼 جهاز iphone 11 📱
أو قيمة الجائزة كاااااااااااااش 💸

السحب بأي لحظة للمتفاعلين🔥
🔁 ريتويت 🤍  لايك 💬 منشن https://t.co/XSM3eBUZGZ",(m)...,2xalet,2020-09-24T02:41:54.000Z,Thu Sep 24 02:41:54 +0000 2020,0,0,ar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EipQuhgXsAYEU3U.jpg,,,
1308959812915519488,RT @yeonlovr : lmao y'all still use twitter for iphone and twitter for android ?? cant relate,✿ ⁷,ktaewrld,2020-09-24T02:41:53.000Z,Thu Sep 24 02:41:53 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
